subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
94.0,-32.0,5.0,-2.0,30.0,10.0,23.0,9.0,3399.84
-68.0,-64.0,11.0,26.0,-1.0,30.0,-1.0,26.0,3399.85
98.0,32.0,6.0,-2.0,-12.0,-10.0,-6.0,-15.0,3399.89
98.0,32.0,6.0,-1.0,13.0,-5.0,13.0,6.0,3399.89
125.0,-48.0,7.0,-10.0,-28.0,-2.0,-17.0,14.0,3399.9
-111.0,16.0,9.0,7.0,30.0,14.0,50.0,7.0,3399.9
-88.0,-127.0,26.0,5.0,13.0,2.0,15.0,4.0,3400.07
126.0,-31.0,23.0,6.0,10.0,6.0,-5.0,10.0,3400.08
108.0,-64.0,6.0,-11.0,23.0,-5.0,26.0,-6.0,3400.1
124.0,-64.0,7.0,35.0,36.0,18.0,52.0,31.0,3400.11
94.0,-32.0,5.0,-26.0,12.0,-50.0,20.0,-40.0,3400.11
-68.0,-64.0,11.0,-3.0,44.0,41.0,33.0,6.0,3400.12
-128.0,0.0,8.0,27.0,-54.0,45.0,-34.0,35.0,3400.13
-108.0,65.0,25.0,-48.0,-28.0,-53.0,-19.0,-37.0,3400.13
-88.0,-127.0,26.0,-28.0,5.0,-34.0,0.0,-33.0,3400.14
126.0,-31.0,23.0,7.0,52.0,-4.0,55.0,3.0,3400.14
108.0,-64.0,6.0,-30.0,20.0,-30.0,45.0,-36.0,3400.15
-40.0,-127.0,29.0,11.0,9.0,10.0,7.0,8.0,3400.21
94.0,-32.0,5.0,-10.0,28.0,-13.0,25.0,-8.0,3400.21
20.0,65.0,17.0,-3.0,-5.0,-5.0,6.0,-10.0,3400.24
124.0,-63.0,23.0,3.0,9.0,9.0,8.0,-1.0,3400.24
-51.0,-48.0,12.0,-4.0,10.0,-6.0,3.0,2.0,3400.25
-107.0,80.0,9.0,-19.0,-23.0,-24.0,-14.0,-14.0,3400.31
-104.0,-127.0,25.0,20.0,10.0,23.0,17.0,18.0,3400.32
-98.0,-32.0,9.0,-40.0,-7.0,-47.0,-6.0,-40.0,3400.32
94.0,-32.0,5.0,-11.0,-15.0,21.0,-33.0,-6.0,3400.33
94.0,-32.0,5.0,-48.0,12.0,-44.0,26.0,-36.0,3400.33
-54.0,-96.0,12.0,-7.0,24.0,-1.0,41.0,-19.0,3400.34
94.0,-32.0,5.0,-24.0,-45.0,-20.0,-49.0,-49.0,3400.34
-128.0,0.0,8.0,11.0,27.0,15.0,41.0,-6.0,3400.35
98.0,32.0,6.0,-6.0,-5.0,-14.0,-9.0,-17.0,3400.37
-108.0,64.0,9.0,8.0,11.0,8.0,7.0,14.0,3400.37
-108.0,64.0,9.0,-17.0,4.0,-10.0,-5.0,-14.0,3400.38
22.0,98.0,33.0,13.0,2.0,13.0,-8.0,8.0,3400.4
-62.0,32.0,12.0,-6.0,20.0,-12.0,20.0,-25.0,3400.41
-66.0,-32.0,11.0,47.0,22.0,55.0,26.0,21.0,3400.42
-46.0,32.0,13.0,2.0,29.0,-10.0,38.0,-9.0,3400.42
-50.0,-32.0,12.0,-4.0,-30.0,35.0,-48.0,19.0,3400.43
-128.0,0.0,8.0,-17.0,-68.0,-5.0,-41.0,-8.0,3400.43
-30.0,32.0,14.0,-21.0,5.0,-21.0,18.0,-31.0,3400.44
-34.0,-32.0,13.0,-4.0,30.0,5.0,23.0,9.0,3400.44
-14.0,32.0,15.0,3.0,-6.0,28.0,-17.0,66.0,3400.45
94.0,-32.0,5.0,-23.0,28.0,-39.0,-1.0,-27.0,3400.46
22.0,98.0,33.0,-9.0,-29.0,-10.0,-31.0,-3.0,3400.46
-87.0,-111.0,26.0,18.0,-2.0,26.0,-3.0,25.0,3400.47
98.0,32.0,6.0,3.0,-15.0,1.0,-11.0,-9.0,3400.47
-51.0,-48.0,12.0,-11.0,14.0,-8.0,12.0,-6.0,3400.5
98.0,32.0,6.0,-16.0,15.0,-21.0,23.0,-23.0,3400.52
94.0,-32.0,5.0,-10.0,-29.0,-9.0,-26.0,-6.0,3400.53
-51.0,-48.0,12.0,-25.0,0.0,-23.0,-2.0,-23.0,3400.53
108.0,-64.0,6.0,-12.0,16.0,-16.0,21.0,-22.0,3400.54
108.0,-64.0,6.0,5.0,-8.0,5.0,-5.0,11.0,3400.61
-127.0,16.0,8.0,-1.0,16.0,3.0,24.0,9.0,3400.61
-107.0,80.0,9.0,-1.0,-17.0,-8.0,-18.0,4.0,3400.62
-115.0,-48.0,8.0,3.0,3.0,8.0,11.0,-1.0,3400.62
-95.0,16.0,10.0,0.0,-15.0,-4.0,-15.0,-4.0,3400.63
98.0,32.0,6.0,8.0,-2.0,3.0,2.0,15.0,3400.63
98.0,32.0,6.0,-7.0,6.0,-1.0,10.0,2.0,3400.64
-85.0,-80.0,10.0,9.0,6.0,3.0,1.0,0.0,3400.64
-65.0,-16.0,11.0,10.0,6.0,6.0,-4.0,6.0,3400.65
-127.0,16.0,8.0,-24.0,1.0,-21.0,5.0,-30.0,3400.65
115.0,50.0,39.0,8.0,-16.0,11.0,-14.0,16.0,3400.73
-121.0,114.0,40.0,7.0,16.0,10.0,21.0,6.0,3400.73
-128.0,0.0,8.0,10.0,11.0,8.0,17.0,13.0,3400.74
-1.0,-16.0,15.0,14.0,-10.0,19.0,-10.0,15.0,3400.74
94.0,-32.0,5.0,-16.0,-13.0,-13.0,-14.0,-15.0,3400.75
116.0,64.0,7.0,1.0,17.0,-9.0,22.0,-3.0,3400.75
100.0,64.0,6.0,13.0,-1.0,17.0,-4.0,23.0,3400.76
-128.0,0.0,8.0,-5.0,-4.0,-9.0,-15.0,-5.0,3400.83
98.0,32.0,6.0,-2.0,-11.0,-1.0,-9.0,-5.0,3400.83
-127.0,16.0,8.0,-10.0,2.0,-14.0,5.0,-14.0,3400.84
-107.0,80.0,9.0,-7.0,-15.0,-4.0,-13.0,-5.0,3400.84
-71.0,-111.0,27.0,4.0,-13.0,11.0,-14.0,5.0,3400.85
-51.0,-47.0,28.0,-3.0,9.0,-7.0,11.0,-11.0,3400.85
98.0,32.0,6.0,-7.0,-12.0,-3.0,-9.0,-8.0,3400.86
98.0,32.0,6.0,-8.0,-6.0,-9.0,2.0,-11.0,3400.86
98.0,32.0,6.0,12.0,2.0,4.0,4.0,6.0,3400.87
120.0,-128.0,7.0,-18.0,-12.0,-11.0,-11.0,-20.0,3400.87
-128.0,0.0,8.0,-1.0,-18.0,-3.0,-24.0,0.0,3400.88
84.0,65.0,21.0,-15.0,-12.0,-16.0,-10.0,-20.0,3400.88
104.0,-127.0,22.0,17.0,-4.0,22.0,-9.0,19.0,3400.89
94.0,-32.0,5.0,-6.0,-17.0,4.0,-19.0,3.0,3400.9
-51.0,-47.0,28.0,16.0,-11.0,18.0,-7.0,18.0,3400.9
-66.0,-32.0,11.0,12.0,-15.0,4.0,-26.0,8.0,3400.92
-46.0,32.0,13.0,35.0,2.0,44.0,10.0,37.0,3400.93
-93.0,48.0,10.0,-36.0,3.0,-27.0,3.0,-46.0,3400.93
-39.0,-112.0,13.0,-8.0,-52.0,0.0,-36.0,27.0,3400.94
-93.0,48.0,10.0,35.0,-10.0,24.0,-6.0,65.0,3400.94
-93.0,48.0,10.0,-16.0,44.0,-6.0,48.0,-12.0,3400.95
-93.0,48.0,10.0,-24.0,-11.0,-37.0,-6.0,-46.0,3400.96
108.0,-64.0,6.0,5.0,-45.0,21.0,-25.0,39.0,3400.96
108.0,-64.0,6.0,26.0,-31.0,20.0,-26.0,43.0,3400.97
108.0,-64.0,6.0,9.0,-13.0,8.0,-21.0,12.0,3400.97
75.0,-79.0,20.0,8.0,6.0,16.0,9.0,15.0,3401.03
-39.0,-112.0,13.0,35.0,10.0,36.0,-19.0,48.0,3401.03
-40.0,-127.0,29.0,30.0,7.0,53.0,25.0,28.0,3401.04
-20.0,-63.0,30.0,-13.0,-8.0,-13.0,-6.0,-25.0,3401.04
95.0,-15.0,21.0,24.0,26.0,6.0,39.0,15.0,3401.05
94.0,-32.0,5.0,-5.0,20.0,-25.0,24.0,-34.0,3401.05
-126.0,32.0,8.0,30.0,18.0,38.0,32.0,41.0,3401.06
94.0,-32.0,5.0,-41.0,28.0,-32.0,-2.0,-53.0,3401.07
-126.0,32.0,8.0,-12.0,5.0,-12.0,-13.0,2.0,3401.13
80.0,0.0,5.0,13.0,-29.0,17.0,-19.0,17.0,3401.14
98.0,32.0,6.0,-2.0,4.0,6.0,-3.0,20.0,3401.14
95.0,-15.0,21.0,1.0,10.0,1.0,15.0,-5.0,3401.15
-108.0,65.0,25.0,-14.0,7.0,-9.0,-2.0,-10.0,3401.15
-88.0,-127.0,26.0,-2.0,13.0,0.0,10.0,-2.0,3401.16
115.0,49.0,23.0,6.0,2.0,7.0,5.0,8.0,3401.17
33.0,17.0,18.0,10.0,8.0,2.0,9.0,14.0,3401.17
53.0,81.0,19.0,3.0,9.0,3.0,17.0,6.0,3401.18
94.0,-32.0,5.0,2.0,1.0,9.0,5.0,10.0,3401.18
62.0,-30.0,35.0,4.0,-10.0,4.0,-1.0,-8.0,3401.26
80.0,0.0,5.0,-7.0,1.0,1.0,-1.0,-5.0,3401.26
90.0,-96.0,5.0,-2.0,4.0,-2.0,4.0,-2.0,3401.3
98.0,32.0,6.0,-14.0,3.0,-2.0,9.0,-9.0,3401.3
-34.0,-32.0,13.0,-2.0,-1.0,-7.0,12.0,-4.0,3401.33
108.0,-64.0,6.0,-10.0,6.0,-2.0,2.0,-8.0,3401.33
62.0,-30.0,35.0,2.0,6.0,-4.0,7.0,-10.0,3401.34
98.0,32.0,6.0,5.0,10.0,-3.0,5.0,-7.0,3401.35
86.0,96.0,5.0,-6.0,-13.0,-6.0,-14.0,1.0,3401.35
94.0,-32.0,5.0,0.0,-14.0,4.0,-11.0,5.0,3401.36
-98.0,-32.0,9.0,-13.0,-7.0,-6.0,-11.0,-9.0,3401.36
86.0,96.0,5.0,6.0,-2.0,6.0,-11.0,16.0,3401.37
94.0,-32.0,5.0,6.0,-8.0,6.0,-3.0,12.0,3401.38
-34.0,-32.0,13.0,-16.0,-12.0,-14.0,-14.0,-7.0,3401.38
108.0,-64.0,6.0,-6.0,3.0,-9.0,4.0,-16.0,3401.39
98.0,32.0,6.0,5.0,4.0,11.0,15.0,6.0,3401.39
98.0,32.0,6.0,12.0,-20.0,1.0,-15.0,3.0,3401.4
-39.0,-112.0,13.0,-3.0,12.0,5.0,12.0,2.0,3401.42
-66.0,-32.0,11.0,-7.0,-7.0,1.0,-4.0,3.0,3401.44
-46.0,32.0,13.0,3.0,11.0,9.0,-10.0,20.0,3401.44
-39.0,-112.0,13.0,-15.0,-3.0,-23.0,12.0,-28.0,3401.45
94.0,-32.0,5.0,-10.0,-22.0,3.0,-5.0,1.0,3401.45
94.0,-32.0,5.0,-15.0,14.0,-10.0,17.0,-9.0,3401.46
86.0,96.0,5.0,36.0,6.0,22.0,14.0,12.0,3401.47
-128.0,0.0,8.0,-20.0,10.0,-6.0,9.0,-5.0,3401.47
-2.0,-32.0,15.0,20.0,7.0,23.0,3.0,13.0,3401.48
-39.0,-112.0,13.0,-19.0,-8.0,-18.0,-9.0,-13.0,3401.48
94.0,-32.0,5.0,17.0,-1.0,12.0,-1.0,13.0,3401.54
-98.0,-32.0,9.0,-7.0,-19.0,2.0,-43.0,16.0,3401.54
108.0,-64.0,6.0,11.0,-14.0,15.0,0.0,19.0,3401.55
94.0,-32.0,5.0,6.0,-7.0,17.0,-3.0,15.0,3401.56
-68.0,-64.0,11.0,-9.0,-10.0,-5.0,-5.0,-18.0,3401.56
122.0,-95.0,23.0,-11.0,-4.0,-7.0,14.0,-19.0,3401.57
-118.0,-96.0,8.0,-8.0,-13.0,6.0,-15.0,-1.0,3401.64
