subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,timestamp
30.0,-32.0,1.0,-16.0,-19.0,-16.0,-19.0,-16.0,1988.93
100.0,64.0,6.0,10.0,-6.0,6.0,1.0,6.0,1988.95
30.0,-32.0,1.0,-25.0,15.0,-25.0,15.0,-24.0,1988.96
94.0,-32.0,5.0,-16.0,13.0,-22.0,3.0,-8.0,1988.97
-75.0,80.0,11.0,2.0,-10.0,4.0,-7.0,-17.0,1988.97
30.0,-32.0,1.0,18.0,-21.0,19.0,-19.0,18.0,1988.98
-34.0,-30.0,45.0,0.0,-9.0,-10.0,-15.0,-6.0,1989.01
30.0,-32.0,1.0,-22.0,20.0,-23.0,20.0,-22.0,1989.05
20.0,65.0,17.0,-9.0,-2.0,-4.0,-6.0,-7.0,1989.06
-34.0,-30.0,45.0,8.0,10.0,12.0,12.0,3.0,1989.07
-98.0,-32.0,9.0,11.0,0.0,9.0,-4.0,12.0,1989.08
-98.0,-32.0,9.0,4.0,10.0,3.0,19.0,-3.0,1989.08
94.0,-32.0,5.0,-11.0,-2.0,-16.0,-2.0,-13.0,1989.09
94.0,-32.0,5.0,-1.0,14.0,-6.0,15.0,-4.0,1989.09
-51.0,-48.0,12.0,4.0,-5.0,11.0,-5.0,10.0,1989.1
