subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,timestamp
125.0,-48.0,7.0,12.0,0.0,9.0,7.0,-7.0,1415.84
-111.0,16.0,9.0,-2.0,9.0,-4.0,0.0,2.0,1415.84
-98.0,-32.0,9.0,-9.0,-1.0,-2.0,-1.0,2.0,1415.85
-10.0,96.0,15.0,-1.0,0.0,1.0,-8.0,-2.0,1415.86
98.0,32.0,6.0,-18.0,-19.0,-14.0,-13.0,-12.0,1415.86
-108.0,64.0,9.0,5.0,-19.0,1.0,3.0,-10.0,1415.87
124.0,-64.0,7.0,-12.0,13.0,-24.0,-15.0,13.0,1415.87
125.0,-48.0,7.0,15.0,16.0,-1.0,9.0,10.0,1415.88
-51.0,-48.0,12.0,12.0,-2.0,8.0,3.0,-4.0,1415.88
120.0,-128.0,7.0,4.0,11.0,12.0,19.0,7.0,1415.89
-115.0,-48.0,8.0,-1.0,10.0,-9.0,4.0,-6.0,1415.89
-66.0,-32.0,11.0,4.0,8.0,-11.0,11.0,7.0,1415.9
-95.0,16.0,10.0,5.0,2.0,5.0,2.0,-7.0,1415.91
-46.0,32.0,13.0,3.0,-5.0,-5.0,-3.0,-9.0,1415.91
98.0,32.0,6.0,3.0,6.0,3.0,8.0,2.0,1415.92
-98.0,-32.0,9.0,-19.0,-10.0,-19.0,-17.0,4.0,1415.92
-51.0,-48.0,12.0,7.0,-2.0,4.0,2.0,-13.0,1415.93
124.0,-64.0,7.0,8.0,-1.0,2.0,6.0,-6.0,1415.93
94.0,-32.0,5.0,-7.0,6.0,2.0,5.0,-2.0,1415.94
-51.0,-48.0,12.0,9.0,-3.0,9.0,6.0,-1.0,1415.94
98.0,32.0,6.0,3.0,-9.0,-5.0,-7.0,-7.0,1415.96
-128.0,0.0,8.0,-18.0,-15.0,-14.0,-13.0,-8.0,1415.96
94.0,-32.0,5.0,-4.0,15.0,-15.0,-6.0,11.0,1415.98
94.0,-32.0,5.0,-2.0,16.0,0.0,2.0,14.0,1415.99
120.0,-128.0,7.0,8.0,-18.0,8.0,8.0,-10.0,1415.99
80.0,0.0,5.0,-1.0,5.0,1.0,7.0,4.0,1416.01
-51.0,-48.0,12.0,-4.0,4.0,1.0,1.0,11.0,1416.02
-51.0,-48.0,12.0,-5.0,4.0,0.0,-3.0,7.0,1416.02
94.0,-32.0,5.0,-4.0,5.0,2.0,3.0,6.0,1416.03
80.0,0.0,5.0,14.0,-11.0,12.0,4.0,-8.0,1416.03
94.0,-32.0,5.0,4.0,2.0,2.0,5.0,1.0,1416.04
124.0,-64.0,7.0,3.0,-1.0,1.0,4.0,-8.0,1416.04
-108.0,64.0,9.0,-6.0,6.0,1.0,-4.0,6.0,1416.05
94.0,-32.0,5.0,6.0,-3.0,4.0,1.0,-9.0,1416.05
120.0,-128.0,7.0,0.0,-4.0,-6.0,-6.0,-2.0,1416.06
94.0,-32.0,5.0,-22.0,4.0,-25.0,-18.0,-9.0,1416.07
94.0,-32.0,5.0,-8.0,20.0,-3.0,-10.0,14.0,1416.08
-128.0,0.0,8.0,-26.0,1.0,-20.0,-17.0,-10.0,1416.08
94.0,-32.0,5.0,-25.0,8.0,-28.0,-14.0,0.0,1416.09
98.0,32.0,6.0,11.0,7.0,15.0,0.0,-2.0,1416.09
94.0,-32.0,5.0,9.0,16.0,12.0,7.0,14.0,1416.1
94.0,-32.0,5.0,16.0,-4.0,19.0,15.0,1.0,1416.1
124.0,-64.0,7.0,3.0,-16.0,1.0,0.0,-12.0,1416.11
